,count(27441)
紙】,6
嘉永,29
　　,670
諸御,9
御趣,98
趣意,89
意書,19
幷御,6
御下,11
下知,11
向之,14
八月,26
朱丸,31
年中,5
中御,8
御觸,6
御免,16
之品,16
関東,4
凶作,5
作ニ,9
ニ付,282
直段,5
高直,15
直ニ,14
付御,36
御年,27
年貢,25
米之,7
之内,46
弐歩,14
歩通,10
四月,9
月迄,10
迄御,6
御指,28
指延,10
被仰,223
仰付,184
付候,145
候事,145
市郷,16
飯料,11
米相,4
相用,16
一日,32
日ニ,7
度之,18
五月,17
ニ可,11
可仕,50
候御,45
御書,20
書付,32
付写,6
四　,11
万事,4
倹約,36
仕御,6
趣御,6
口達,9
書之,40
之事,113
五　,12
江戸,15
趣ニ,35
仰聞,11
六　,11
　御,26
御郡,50
様ゟ,7
向御,6
書写,19
七　,11
　諸,6
給人,9
不都,20
付村,6
村役,38
役人,96
心ヲ,12
ヲ付,12
候様,232
様御,28
端書,18
八　,12
御定,4
仕立,13
立方,5
方御,14
御取,34
取究,89
九　,12
非人,21
人小,4
小家,7
救助,14
皆納,4
仕候,94
候得,156
得者,14
者御,17
證文,9
被下,28
下候,17
十一,47
一　,12
御役,61
十二,30
二　,8
勧化,4
り紙,7
天保,13
巳年,8
意被,9
申候,52
午年,14
　此,6
此御,4
株無,5
無御,14
御座,39
亥年,11
十三,20
寅年,11
弘化,14
化三,9
未年,7
三　,9
町方,7
十四,18
無僧,4
吹笛,4
懸合,7
而申,5
申継,26
十五,19
御家,39
家中,36
三歩,14
寄懸,4
仰出,38
出書,4
十六,18
職人,6
日雇,15
賃銀,10
銀御,4
十七,16
究書,4
之写,20
十八,14
山下,27
下村,10
村々,71
用心,10
筋之,12
十九,20
銀不,4
出之,24
之處,24
六ケ,5
ケ年,15
年ニ,7
ニ御,42
付書,6
二十,11
十　,8
歩懸,19
切ニ,9
ニ而,145
秋ゟ,7
ゟ御,29
免被,10
作之,11
之義,271
義ニ,49
御留,12
野之,4
究向,14
文化,6
年御,6
廿五,4
海部,5
屋へ,17
阿波,10
筋御,4
人御,13
御往,5
往来,19
送り,20
ママ,8
傳馬,14
處ゟ,5
迷惑,36
惑之,12
之旨,14
旨申,9
申上,30
已後,8
北往,4
筋へ,9
へ罷,12
罷成,5
成り,5
廿六,10
右御,18
かへ,5
廿七,11
方之,33
義御,10
廿八,4
當秋,7
柄ニ,10
ニ寄,11
風雨,9
出水,4
等ニ,25
而他,4
他国,27
国表,4
米價,4
御国,21
ニ引,8
相場,8
も無,16
無之,74
積出,4
不仕,17
仕様,17
様之,39
一月,23
廿九,7
水ニ,4
潰家,6
ニ相,182
相成,107
成御,7
御手,36
手當,15
當御,4
丸三,4
三十,26
毘羅,5
観音,6
毎月,4
人ニ,8
諸品,5
指免,4
右ニ,15
正月,30
勧農,11
御渡,28
　西,4
成候,81
候ニ,128
指留,13
邊路,10
手代,15
當テ,6
與頭,33
庄屋,92
手元,25
見分,10
分之,17
導師,5
五人,16
旅宿,12
先年,10
年被,5
付之,16
御用,29
又者,15
御尋,4
此比,5
体之,5
之者,132
者多,11
多相,6
相見,29
見候,16
地盤,15
而已,9
居宅,5
有之,214
四十,20
致候,9
候品,7
品々,6
々御,26
候義,64
之ニ,20
人共,75
共申,10
申聞,99
此砌,7
出火,10
乱者,28
者召,5
召捕,13
津田,11
田浦,5
教諭,14
出勤,4
都而,11
を以,43
以下,8
申出,82
主意,8
意ニ,21
鮎喰,6
ニお,51
ゐて,41
不納,10
相運,19
申ニ,13
早々,24
取約,5
別宮,4
川口,5
渡書,6
村浦,29
幷目,4
目安,12
行着,9
他村,4
村之,8
義も,35
奥書,7
尚又,16
普請,32
請願,4
ヲ以,33
願出,20
五十,16
いて,15
五拾,14
　南,4
南北,12
郡之,16
内外,4
御普,29
受負,5
与頭,27
面々,52
質素,28
御制,21
淡州,6
買米,9
切手,20
拾五,4
迄之,21
之間,18
往還,4
例年,5
年之,32
之通,113
共取,6
取繕,4
申付,92
拾六,4
土州,5
流之,4
年ゟ,12
拾七,4
中之,23
近年,24
諸物,5
物高,7
昨年,24
違作,8
自然,22
迫ニ,5
相及,30
此度,55
地震,9
損ニ,4
ニ及,13
之御,62
御借,5
利足,7
半数,7
拾八,4
小松,6
松嶋,6
嶋浦,4
出ニ,13
指上,18
々ゟ,14
豊作,8
冥加,10
持之,7
旨被,6
向後,14
相速,6
取候,16
六十,28
及候,20
指入,9
御究,7
究ニ,8
毛綿,7
上候,44
難渋,43
徘徊,5
せし,23
しめ,23
候故,9
絹物,5
勿論,29
たり,9
りと,9
とも,43
高價,9
取扱,12
不申,74
申様,23
打廻,14
廻り,11
目付,21
名面,14
諸国,7
酒造,6
被申,26
員数,8
究之,7
出御,6
付諸,7
物之,7
之類,9
上方,4
仕入,5
候而,76
而者,32
数之,5
之趣,40
都合,28
品相,6
相調,30
申事,54
七月,14
朔日,10
御聴,4
取調,30
手崎,25
盤御,8
候場,11
場處,9
格別,23
繁多,6
出入,39
下々,18
之向,6
向も,12
も可,26
可有,42
以来,27
通ニ,19
付其,6
溜り,6
り候,37
月廿,39
廿一,10
日ゟ,15
二月,34
晦日,9
日迄,19
壱時,9
手懸,67
　三,13
ゟ来,5
當之,6
被召,22
召上,23
七十,12
上納,53
義被,6
之外,18
引上,10
様相,53
州表,4
爰元,4
へ相,21
相納,8
候年,4
等相,8
表ゟ,5
懸り,47
り御,8
御礼,6
之分,18
分御,6
郡々,4
々ニ,22
入之,10
者共,68
仕度,12
者有,18
之候,69
得ハ,61
ハ人,4
出候,139
様被,40
是迄,17
出来,26
来候,10
此節,5
節之,4
人数,10
数御,4
組村,19
立御,6
○【,76
度々,9
究被,8
ニも,53
究候,17
事ニ,109
ニ候,145
得共,75
たし,21
し候,18
候哉,11
哉ニ,17
市中,24
中ゟ,6
者も,18
入込,11
兼而,20
而指,5
も相,31
如何,35
ゟ之,4
之出,7
觸達,8
達候,26
別紙,16
之仕,6
以相,6
共當,7
指支,13
之哉,14
右之,58
外ニ,6
用之,4
而ハ,97
ハ是,4
是又,6
申談,26
存寄,7
可申,193
出事,5
ゟ相,11
へ可,12
可相,24
も有,46
　一,15
停止,4
等者,5
其余,8
以上,61
屋共,32
共へ,69
へ申,39
申渡,33
年柄,10
之村,8
てハ,26
ハ御,31
之筋,9
畠作,5
而も,29
其上,4
をも,10
相聞,51
随而,24
而米,5
直之,5
義ハ,111
ヵ】,14
何様,8
候と,4
無據,7
何れ,10
れも,13
義者,37
前之,7
米麦,9
當年,18
ニ罷,10
之儀,58
儀も,5
別之,9
慈悲,5
意を,5
内ニ,14
ニ者,18
調候,13
候村,7
来通,7
通當,6
當月,5
五日,11
通之,14
月ゟ,4
但本,7
通被,12
心得,187
身分,7
ニて,6
皆済,5
得候,30
候者,75
者ハ,16
納為,4
為仕,12
相至,13
至り,12
り不,9
迚も,14
ニ不,16
不相,44
成丈,7
得之,15
者は,5
次第,13
様可,54
聞候,71
々難,8
厚御,9
御評,16
之上,37
就而,11
々之,24
も右,9
容易,5
相心,115
出精,7
させ,10
猶又,11
又御,5
御蔵,22
ハ右,12
押紙,5
付不,7
不心,21
間敷,7
儀者,17
者不,9
精々,12
々相,15
速取,8
厚可,5
夫々,40
共ゟ,19
百姓,46
洩様,16
様厚,7
月十,41
九日,22
一此,4
ヲ始,4
承知,14
之申,6
行届,7
事故,13
得可,20
時ハ,4
恐入,5
入候,8
一應,4
應之,10
之懸,27
りニ,20
ハ百,6
拾目,10
目ニ,10
候所,38
先日,7
日之,8
已来,5
引合,9
合ニ,18
共御,6
可被,38
も候,7
ハ猶,5
此上,11
者其,10
ニ應,10
應シ,9
通り,4
當候,4
とハ,4
重々,32
一右,11
右様,55
様無,4
第一,14
一御,21
場合,13
より,22
米穀,4
シ候,4
難有,33
奉存,23
存候,27
届候,6
仕事,9
者無,12
義申,7
之運,6
御文,4
加へ,4
へ被,10
千四,5
四百,5
拾弐,5
弐石,8
當り,12
七石,7
名東,37
弐百,5
八斗,4
板野,11
麻植,8
四拾,8
四石,4
八十,4
十弐,4
壱石,4
斗　,5
十石,9
　名,7
名西,18
五石,5
五斗,4
百三,4
六石,4
同三,4
一三,5
三拾,5
石　,36
三石,10
新居,5
　廿,4
一五,6
　八,4
八石,4
　東,5
佐古,5
東名,10
　五,4
助任,7
田　,6
早渕,4
廿四,6
取立,10
付事,9
但御,10
御差,4
紙之,8
調指,5
同断,22
ニ被,16
内間,7
様成,5
成不,14
申義,9
御坐,25
一弐,7
通御,13
渡候,35
共相,8
相應,15
身代,4
融通,21
有御,9
通相,12
様取,11
取計,14
其手,5
組頭,34
程能,4
得と,12
為相,10
立候,15
一体,5
と相,22
相立,9
模様,10
様ニ,12
度御,6
付ニ,8
付而,35
引下,5
相済,5
當季,5
へ指,10
行候,6
主共,6
了簡,23
ハ村,9
遣候,13
悪布,5
可指,15
指出,42
ニ無,7
ゆへ,7
懸ニ,15
迄も,6
出可,10
ニ至,31
かた,5
伺上,5
年寄,4
本〆,11
衛門,48
兵衛,25
相渡,34
候書,6
一市,5
用候,8
迄一,4
一度,4
ニ仕,9
様申,22
右同,12
ニ難,5
難相,18
郷分,16
分ニ,6
者之,24
約仕,9
一郷,6
歩一,11
相觸,8
之所,13
相残,4
居申,25
申分,5
分者,5
最早,10
留候,4
件々,5
候儀,11
之不,4
不作,7
津留,4
々一,7
等有,8
町人,4
取續,15
之道,11
大ニ,4
之場,5
場ニ,13
之心,12
心構,4
候ハ,10
之取,5
續候,11
被遊,15
遊候,12
候厚,5
仁恵,8
候間,32
此段,20
壱統,15
江申,5
申諭,5
諭候,4
達之,5
御意,11
當夏,8
至候,9
も難,13
との,10
の御,5
而一,5
日壱,4
壱人,14
飯物,6
相減,6
候時,7
人之,21
家族,10
不少,4
中ニ,16
数ニ,6
候右,23
合之,21
候依,8
依而,8
時節,13
節ゟ,4
被為,16
上御,9
下之,5
誠ニ,4
給物,6
懇ニ,14
付尚,8
一ニ,5
有来,7
屹と,27
相當,5
不苦,8
候条,68
等之,28
人々,10
右者,15
者へ,10
違之,13
之様,36
約之,6
奉公,21
等仕,9
勝手,12
手ニ,8
相流,7
違無,13
能々,4
々申,15
主人,7
共其,5
様村,7
時々,15
見聞,4
付可,4
ニよ,5
候趣,22
農事,5
者一,6
ハ相,13
可然,7
之時,6
候へ,22
へハ,15
ハ不,13
者等,4
追拂,15
ハ農,4
相勤,8
勤候,4
別而,19
而不,8
不埒,8
ゟ村,4
と申,8
へ者,5
シ御,4
相守,22
今日,10
日御,19
御呼,13
呼懸,17
懸之,23
私共,14
渡御,6
一牧,14
奉畏,11
共ニ,14
ても,11
様子,5
之風,7
風聞,4
追々,25
々承,4
付罷,4
罷在,16
在候,12
々江,13
至極,6
を相,6
仍而,9
連判,10
以御,9
請書,18
書指,7
二日,16
日　,22
佐藤,8
仁木,5
湯浅,6
五郎,7
阿部,8
東條,7
後藤,15
内藤,5
御請,7
所へ,7
等被,12
者相,5
も御,15
兎角,11
入御,4
村中,5
共手,9
召呼,4
仕奉,4
書取,10
取懸,5
懸申,5
油断,9
弥以,6
共連,4
出申,4
相違,8
月　,10
中へ,6
三月,15
者先,5
先達,18
而被,8
頃ニ,5
御地,4
乍併,4
世上,6
上之,14
ニハ,25
被　,24
　仰,22
至迄,22
孰も,7
ハ無,10
心懸,11
共右,6
召仕,14
ハ身,4
之程,7
も不,23
不拘,6
ハ一,6
一時,5
時之,4
候も,4
もの,6
畢竟,9
寄候,5
彼是,15
各ゟ,6
末々,11
迄不,7
通達,7
旨御,8
付中,5
申達,16
廿日,19
去ル,9
御仕,20
仕出,5
之由,4
日々,5
而御,22
御廻,9
御直,8
直々,4
所務,4
扶持,14
申趣,5
　組,8
付當,7
申哉,9
仮令,5
其餘,7
候處,16
餘程,5
尤之,4
而當,8
カヘ,4
當時,6
相弛,12
付旨,4
處ニ,10
分ハ,10
事ゆ,5
分も,5
上ニ,6
なら,6
らす,5
人ハ,5
合候,14
間ニ,4
飲食,5
相厭,5
ハ其,14
被相,6
相行,9
何分,6
々可,6
ニ申,13
一統,5
統御,4
人別,11
少も,6
々へ,8
受書,4
共も,7
　何,7
書ヲ,7
以被,6
候写,4
ゟ被,8
納之,4
左之,10
廻達,7
達ニ,13
成行,8
ニ取,13
取入,4
以前,5
迄ニ,6
仕置,5
被成,22
九月,8
七日,12
ゟ申,4
十月,8
四日,18
地方,4
勝浦,6
月日,5
以手,5
候然,8
者追,4
も多,6
々も,5
之右,9
文通,4
所近,4
ハ尚,4
紙を,4
、本,4
本文,23
候通,5
来之,19
御達,6
度候,7
候尤,23
六月,14
候節,10
相懸,10
米等,4
不宜,5
置候,33
御配,6
亥十,5
代處,7
所様,5
渡し,4
来ル,18
年十,12
同心,11
罷越,8
御義,5
義と,4
付共,9
出張,11
一諸,5
右取,6
？】,6
難計,5
方ゟ,6
最寄,14
人相,4
相配,5
手配,4
配候,5
候筈,7
共義,7
村へ,4
々出,5
共始,6
共之,6
罷出,34
奉伺,5
冨田,4
ニ出,5
人ゟ,9
役處,9
案内,11
又ハ,10
帳面,9
面ニ,9
差出,10
所持,5
ハ早,4
書相,5
相認,8
村方,7
方へ,9
之節,16
して,5
寅十,5
六日,17
銀之,10
年々,6
々取,6
右出,4
出銀,19
其段,8
代之,12
年分,4
下度,4
而右,9
候上,25
上ハ,4
指遣,8
儀ニ,6
可遂,4
三郎,33
郡中,22
元取,7
元〆,4
〆中,8
十日,9
従来,6
筈之,4
向ニ,5
右等,7
其儘,4
筋ニ,11
懸候,17
取改,4
達事,9
人へ,7
ハ時,4
候類,4
近比,5
何と,5
相贈,4
候向,11
不弁,7
端々,11
後之,7
候共,4
扱候,6
と御,8
取糺,4
町御,11
御奉,20
奉行,34
付取,4
調達,4
様仕,6
藤庄,12
外御,6
同様,7
候旨,12
之段,12
之助,9
庄助,14
松江,15
者ニ,9
申通,7
八日,10
立合,4
筋ゟ,5
丁目,4
軒屋,4
道筋,6
方共,36
付添,5
方と,5
節者,4
付置,5
万一,4
相背,7
但右,4
江も,10
御馬,4
々不,4
候此,9
上不,5
此後,4
後右,9
旨趣,7
ハ當,5
其方,34
組切,8
行仕,4
度旨,9
両人,12
為取,4
壱ケ,5
ケ月,6
来ニ,6
三ケ,7
受取,5
哉之,7
同役,12
一昨,9
付申,4
渡可,4
篤と,9
候且,9
先々,4
へ御,12
渡成,11
御不,5
も被,8
仕送,6
打續,4
其時,6
御入,8
入目,10
之其,7
不時,5
所ゟ,7
借財,9
多分,7
御行,5
極々,4
被蒙,6
犇と,5
支ニ,8
御事,10
指置,4
前顕,14
為指,6
り之,8
敷御,4
當ニ,4
始御,4
不被,4
大之,6
繰合,13
始メ,4
り被,5
借銀,5
尚亦,5
等も,7
思召,9
願之,8
も仕,4
年限,9
尚更,4
ハ別,7
別段,5
相達,16
尤無,4
一高,5
格懸,4
拝借,21
返上,8
諸士,4
池田,5
名士,5
支配,23
へも,18
大坂,6
々其,5
其外,6
寺社,9
高取,5
切田,4
行之,14
も同,11
評義,8
御弛,4
承合,7
写取,9
殿ゟ,9
懸被,8
作料,5
給銀,9
親敷,4
敷申,4
出有,7
三日,7
銀等,5
左書,13
當職,4
候段,5
ケ條,8
猶亦,5
寺院,4
弐匁,7
七分,4
持参,7
雇主,4
之方,4
方ニ,9
文之,16
不筋,5
右ハ,4
候元,4
或ハ,4
困窮,12
請人,4
候懸,9
を始,12
毎々,4
之日,5
人と,4
路ニ,5
右申,7
付相,7
々ハ,4
申者,5
令出,4
いつ,8
近来,7
せ候,5
仕成,10
候将,4
将又,6
速ニ,6
花美,7
應相,5
相暮,5
暮候,5
多人,6
先ハ,4
江相,5
相到,4
ニ到,5
到迄,4
共出,4
幷ニ,6
体ニ,5
無手,5
者取,7
目立,4
才判,8
處々,4
手抜,4
仰上,4
相仕,10
制道,10
気配,4
々手,10
子年,7
意申,6
年迄,5
程之,8
初年,4
其内,5
両三,5
三年,4
年申,5
居候,15
諸郡,11
延引,5
毎年,5
取都,7
受持,4
共最,4
共呼,4
日限,5
共江,6
江者,4
間違,4
々厚,8
儀ハ,16
申此,5
ハ追,5
厚被,5
而取,5
可罷,4
仕之,4
聞置,8
類も,4
も申,7
野村,5
請持,6
廿二,4
北御,6
前々,8
諸鳥,4
日数,14
鴈追,5
追立,11
壱両,6
番之,4
り申,4
候之,7
鉄砲,7
以後,8
惣代,6
候処,10
御出,8
頭百,6
只今,8
郎殿,10
於御,5
鳥追,5
月之,4
時ニ,6
ニ其,4
ゟ取,4
究方,5
方相,5
限り,6
承届,5
役共,6
も其,4
組合,5
手形,7
所ニ,9
通行,5
仕居,4
紙面,4
相添,6
添書,5
郡御,6
之砌,4
者指,4
罷帰,6
郡ゟ,5
上置,4
知候,4
穀物,5
も追,7
壱牧,11
手許,7
御申,9
付箋,8
】「,5
六人,5
人以,6
匁宛,6
三人,10
目宛,6
同弐,5
弐人,11
受候,5
音寺,4
右場,6
但諸,4
取分,5
興行,6
處へ,11
ハ難,10
請相,5
銀主,7
人夫,5
処ゟ,5
蘭書,6
翻譯,6
致し,4
唱候,5
右体,4
不残,4
候分,11
ク　,4
ムル,4
　ヒ,4
□□,4
ル　,8
御成,4
ハ取,4
四国,8
穂積,5
御小,5
振替,5
代共,7
之進,6
太郎,16
書入,4
在々,4
壱匁,7
袖乞,5
へ案,4
一同,8
之処,4
も先,5
【？,6
相始,4
聞且,4
相送,4
書を,6
合可,6
寄合,4
場所,8
出役,5
国者,7
内之,5
ニ奉,4
　中,4
當冬,7
相基,5
人宛,4
呼出,14
之株,7
追而,5
之中,5
々無,6
之比,4
日切,5
演舌,4
来月,5
農繁,7
丑十,4
書ニ,5
壱郡,4
取之,7
ハ願,4
相手,25
郎様,9
将亦,4
人呼,4
服相,4
其處,4
相記,4
郡方,4
路之,5
寄御,5
御境,13
可致,4
頭ゟ,4
所々,4
ハ弥,5
壱季,4
御馳,8
元利,6
無格,6
借之,5
之地,4
田村,5
米三,6
安政,7
中幷,4
本人,5
御番,7
窮ニ,5
順シ,4
繁ニ,9
通可,5
浦之,7
辺路,9
病気,5
壱應,7
演達,5
村御,9
入ニ,6
取頻,4
申株,4
株之,5
ハ出,6
出府,7
壱巻,4
五分,4
自宅,4
済口,10
ハ此,4
弐　　,4
御口達,6
於江戸,5
御郡代,49
御端書,15
番非人,18
　救助,6
救助銀,9
納仕候,6
朱丸十,9
御役場,21
貼り紙,7
○天保,4
五午年,5
御座候,33
天保十,5
三寅年,6
○弘化,4
嘉永元,4
三歩半,11
諸職人,6
御山下,25
之用心,9
御留野,10
朱丸廿,5
海部郡,4
阿波郡,6
【ママ,8
往来筋,4
嘉永三,4
金毘羅,5
品市賣,4
嘉永四,9
勧農御,6
頭庄屋,79
　與頭,5
庄屋御,4
義有之,8
々役人,18
胡乱者,28
教諭人,9
御主意,6
おゐて,41
被仰渡,25
以願出,4
おいて,15
御制服,15
無切手,13
之義先,8
之面々,41
逼迫ニ,4
多有之,6
豊作仕,4
寄持之,5
地震高,4
難渋人,5
市郷之,5
ハ勿論,15
高價之,4
郷目付,18
月朔日,10
江戸表,12
手崎之,7
義地盤,4
諸出入,7
出入物,4
有之既,4
以来相,5
相溜り,6
候出入,10
月晦日,7
ニ而三,5
上納方,7
相見へ,4
手元へ,9
相納候,4
相調御,4
【朱】,74
共近年,4
いたし,21
如何之,17
御停止,4
申渡覚,6
相運候,7
難渋之,14
御慈悲,5
上納相,8
心得方,5
度心得,5
不相拘,4
之次第,7
御評儀,7
年貢之,5
【押紙,5
百姓共,28
不洩様,8
奉承知,4
小百姓,16
容易ニ,4
之引合,6
第一之,4
相成可,5
御場合,6
難有奉,9
度奉存,7
千弐百,5
石八斗,4
此弐歩,5
名東　,8
石五斗,4
名東郡,14
　　六,5
　　百,5
北新居,4
下助任,4
　　弐,7
　津田,4
新御蔵,8
御坐候,24
取計可,7
之模様,8
候以上,39
筈ニ候,4
心得無,4
板野郡,6
ニ付右,12
趣意難,6
右衛門,30
不融通,16
候ハヽ,7
迷惑も,4
御仁恵,8
御意味,4
難有相,14
不苦候,7
心得違,24
相流候,4
時節ニ,7
拂可申,5
質素ニ,5
仕可申,8
相守候,6
御渡被,16
候仍而,5
上申候,5
阿部源,4
左衛門,17
御役所,13
不相洩,9
様重々,4
可仕旨,6
奉畏候,5
無油断,7
五人与,5
先達而,17
候所此,4
此頃ニ,4
ニ有之,8
候勿論,5
候条此,4
中申達,12
月二日,7
被下置,5
御扶持,12
當正月,4
候随而,19
ニハ候,6
候へ共,6
午五月,5
付有之,6
何兵衛,5
候条右,14
屹と取,7
可申旨,4
候間右,6
御承知,6
承知御,5
月四日,10
以手紙,4
得御意,6
立之義,4
被成度,4
ニ付此,8
月九日,6
来ル廿,5
罷越候,4
　　冨,4
　　【,6
共方へ,4
拾ケ年,4
渡有之,9
ニ付手,4
次第ニ,4
了簡候,7
有之度,6
了簡旨,7
不弁之,6
共重々,6
奉行御,8
申聞義,5
義可有,5
申談候,4
通候様,4
仰付哉,6
年八月,6
申聞可,4
月八日,4
日松江,4
年六月,4
共付添,4
置可申,5
咎可申,7
達有之,4
候面々,5
候様且,4
甚如何,4
ニ付壱,5
旅宿へ,5
日以来,6
御心得,5
々庄屋,4
年七月,5
勝手方,6
被為在,5
延々ニ,5
御都合,6
前顕之,8
廣大之,5
御繰合,6
御仕解,6
奉恐入,4
被思召,4
ハ迷惑,6
御用捨,6
銀勧農,4
三名士,5
支配之,6
扶持方,11
申聞旨,4
小高取,4
ニ付格,5
衛門殿,5
石何斗,4
奉公人,9
左書ケ,4
心得不,7
不申而,11
成居申,7
實意ニ,4
入可申,4
々有之,4
正路ニ,4
屹と咎,8
いつれ,6
ニ付土,4
共より,4
花美ニ,6
難渋仕,4
来ル十,6
と相唱,4
しめ候,13
候就而,4
下才判,6
年上納,6
相調者,5
不納人,4
彼是御,4
御手傳,7
相弛ミ,7
ニ付今,4
申継候,8
年九月,4
可然様,4
傳馬組,5
傳馬筋,5
御往通,4
御用繁,5
殿　　,6
格別御,4
立可申,4
高價ニ,5
追送り,4
牧難渋,4
手許へ,4
【付箋,8
困窮之,4
多少ニ,4
軒ニ付,4
拾匁宛,4
ゟ五人,4
　　同,9
ニ付何,5
可申尤,7
者四国,4
穂積恰,4
御振替,5
名西郡,4
勝浦郡,4
春太郎,6
ニ付先,5
切手幷,4
申継仕,4
御了簡,4
浅竜助,4
者共者,4
仕様写,4
候尤當,4
ニ付別,4
追拂之,5
入込候,6
趣意厚,4
冬壱季,4
御馳被,4
支配頭,5
村右同,5
郷鉄砲,4
厚取究,4
存寄申,4
御番人,5
相順シ,4
御支配,7
御国内,4
御境目,12
手懸向,6
懸可申,9
處名面,4
手懸方,5
出入筋,8
只今ゟ,6
與頭共,4
出入人,5
廿日計,4
御郡代様,10
御取究御,4
日雇賃銀,5
火之用心,9
朱丸二十,5
阿波郡筋,4
【ママ、,6
諸品市賣,4
庄屋五人,6
出火有之,4
質素倹約,17
御制服之,8
相調不申,6
當手崎之,5
下々迷惑,6
八月以来,8
壱時手懸,7
○【朱】,74
度事ニ候,7
被仰付度,10
と奉存候,8
迷惑可仕,5
作等有之,4
御仁恵之,6
御郡代御,5
之義無之,5
厚相心得,16
相心得罷,7
ハ有来通,4
取究可申,8
之通此度,4
可有通達,4
御趣意相,6
小百姓ニ,6
得御意候,4
御郡代所,5
書付を以,5
遂了簡候,5
郎右衛門,4
可有了簡,7
候得ハ屹,5
江島三郎,9
御勝手方,6
候得共前,4
御年限中,6
不時拝借,4
御蔵奉行,11
何石何斗,4
〆之面々,4
村浦役人,8
ケ條之通,4
日雇奉公,4
頭庄屋江,5
藤長三郎,4
奉申上候,4
出銀取立,4
旨本〆中,6
【付箋】,5
之多少ニ,4
之者　　,9
　　　壱,5
壱軒ニ付,4
【貼り紙,5
者候得共,4
御役場へ,6
澤春太郎,5
湯浅竜助,4
里住池田,4
永六丑年,4
取究申付,5
城麻太郎,4
無格末々,4
拝借返上,5
国處名面,4
四国辺路,5
済口成候,4
被　召上,4
天保五午年,4
弘化三午年,6
潰家ニ相成,4
嘉永四亥年,8
質素倹約御,6
他国無切手,4
他国胡乱者,5
○【朱】四,7
○【朱】　,11
○【朱】五,5
○【朱】六,5
一組頭庄屋,4
○【朱】十,7
松江島三郎,9
其方共組村,4
諸職人作料,4
○【朱】廿,4
日数十五日,4
内藤長三郎,4
様町御奉行,4
條勘左衛門,5
三澤春太郎,5
大里住池田,4
嘉永六丑年,4
宮城麻太郎,4
無切手胡乱者,4
ゟ二月晦日迄,5
其手組頭庄屋,4
不埒之事ニ候,6
質素倹約相守,4
○【朱】二十,6
東條勘左衛門,5
　　同　　　,5
此段各ゟ御家中,4
目ニおゐて追拂,5
分　　　　　　,6
端々入込候様相見,4
一弐人御扶持方御支配米三石,4
